id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
286, Honda , Honda City,2020,1338299,29770,1st Owner,Petrol,9353,VX CVT PETROL Automatic
287, KIA , KIA SELTOS,2020,1845599,41054,1st Owner,Petrol,35041,1.4 GTX+ TURBO GDI PETROL AT Automatic
288, Ford , Ford Ecosport,2018,802099,17842,1st Owner,Petrol,48102,TREND + 1.5 TI VCT AT Automatic
289, Honda , Honda WR-V,2018,787299,17513,2nd Owner,Diesel,50303,1.5 i-DTEC VX MT Manual
290, Hyundai , Hyundai Verna,2018,1073399,23877,2nd Owner,Petrol,24359,1.6 SX VTVT AT (O) Automatic
291, Hyundai , Hyundai Verna,2018,1025299,22807,2nd Owner,Petrol,16957,1.6 SX VTVT AT (O) Automatic
292, Maruti , Maruti Dzire,2020,804559,17897,1st Owner,Petrol,9800,VXI AMT Automatic
293, Maruti , Maruti Ertiga,2019,1050799,23374,2nd Owner,Petrol,18762,ZXI SMART HYBRID AT Automatic
294, Maruti , Maruti Swift,2015,401299,8927,2nd Owner,Petrol,28725,VXI Manual
295, Renault , Renault TRIBER,2020,661199,14708,1st Owner,Petrol,19677,RXL AT Automatic
296, Maruti , Maruti Swift Dzire,2012,441299,9816,1st Owner,Diesel,50487,VDI BS IV Manual
297, Hyundai , Hyundai Grand i,2016,403999,8987,3rd Owner,Petrol,23846,SPORTS 1.2 VTVT Manual
298, Maruti , Maruti Swift Dzire,2014,447599,9957,1st Owner,Petrol,40877,VXI 1.2 BS IV Manual
299, Tata , Tata NEXON,2017,768199,17088,1st Owner,Petrol,19863,XZ+ 1.2 Manual
300, Maruti , Maruti Alto ,2013,256499,5706,1st Owner,Petrol,40509,LXI Manual
301, Maruti , Maruti Swift,2014,388599,8644,2nd Owner,Petrol,56830,VXI Manual
302, Volkswagen , Volkswagen Polo,2016,665799,14810,1st Owner,Petrol,41795,GT TSI 1.2 PETROL AT Automatic
303, Toyota , Toyota Innova Crysta,2016,1486559,33068,1st Owner,Diesel,74162,2.8 GX AT 8 STR Automatic
304, Hyundai , Hyundai Creta,2020,1286799,28624,1st Owner,Petrol,11301,S PETROL MT Manual
305, KIA , KIA SELTOS,2019,1617199,35974,1st Owner,Petrol,5914,GTX+ 1.4 MT Manual
306, Maruti , Maruti Swift Dzire,2012,401499,8931,1st Owner,Diesel,162410,VDI BS IV Manual
307, Maruti , Maruti Alto ,2013,253199,5632,1st Owner,Petrol,45886,LXI Manual
308, Hyundai , Hyundai Grand i,2016,436199,9703,1st Owner,Petrol,40124,SPORTZ 1.2 KAPPA VTVT Manual
309, Hyundai , Hyundai Grand i,2018,507299,11285,1st Owner,Petrol,22796,MAGNA 1.2 KAPPA VTVT Manual
310, Maruti , Maruti Wagon R ,2017,393999,8764,3rd Owner,Petrol,11435,VXI Manual
311, Maruti , Maruti Ciaz,2016,615999,13703,2nd Owner,Petrol,24103,VXI PLUS Manual
312, Renault , Renault Kwid,2019,460099,10235,1st Owner,Petrol,7765,RXT 1.0 EASY-R AT OPTION Automatic
313, Hyundai , Hyundai Grand i,2014,417699,9291,1st Owner,Petrol,26735,SPORTZ 1.2 KAPPA VTVT Manual
314, Honda , Honda BR-V,2016,731299,16267,1st Owner,Petrol,44915,1.5 i-VTEC V CVT Automatic
315, Maruti , Maruti Swift,2014,422299,9394,2nd Owner,Petrol,58873,VXI Manual
316, Mahindra , Mahindra Scorpio,2017,1246499,27728,2nd Owner,Diesel,52077,S10 Intelli Hybrid 2WD Manual
317, Toyota , Toyota Corolla Altis,2014,693699,15431,1st Owner,Petrol,55578,G Manual
318, Honda , Honda City,2014,554499,12335,2nd Owner,Petrol,16541,S MT PETROL Manual
319, Tata , Tata NEXON,2018,857199,19068,1st Owner,Petrol,38171,XZ+ 1.2 DUAL TONE Manual
320, Hyundai , Hyundai Grand i,2014,439099,9768,1st Owner,Petrol,26983,SPORTZ 1.2 KAPPA VTVT Manual
321, Hyundai , Hyundai Elite i,2017,540499,12023,2nd Owner,Petrol,22549,SPORTZ 1.2 Manual
322, Volkswagen , Volkswagen Polo,2017,672499,14959,2nd Owner,Petrol,40279,GT TSI 1.2 PETROL AT Automatic
323, Hyundai , Hyundai i,2011,306499,6818,2nd Owner,Petrol,94323,SPORTZ 1.2 O Manual
324, Maruti , Maruti Celerio,2017,452099,10057,1st Owner,Petrol,36763,ZXI Manual
325, Maruti , Maruti Celerio,2018,480999,10700,1st Owner,Petrol,18389,VXI (O) Manual
326, Toyota , Toyota Innova Crysta,2018,1814599,40365,1st Owner,Diesel,38559,2.4 VX 7 STR Manual
327, Maruti , Maruti Celerio,2018,530299,11796,1st Owner,Petrol,6305,ZXI OPT Manual
328, Maruti , Maruti Ertiga,2016,779999,17351,2nd Owner,Diesel,67194,ZDI SHVS Manual
329, KIA , KIA SELTOS,2019,1567899,34877,1st Owner,Petrol,14370,GTX+ 1.4 MT Manual
330, Volkswagen , Volkswagen Ameo,2016,450699,10026,2nd Owner,Petrol,38046,COMFORTLINE 1.2 Manual
331, Maruti , Maruti Baleno,2016,535999,11923,1st Owner,Petrol,25082,DELTA 1.2 K12 Manual
332, Honda , Honda City,2018,778599,17320,2nd Owner,Petrol,15132,SV MT PETROL Manual
333, Maruti , Maruti Ciaz,2020,903199,20091,1st Owner,Petrol,14444,DELTA 1.5 SHVS VVT MT Manual
334, Volkswagen , Volkswagen Vento,2016,619099,13772,1st Owner,Petrol,76689,HIGHLINE 1.2 TSI AT Automatic
335, Hyundai , Hyundai Grand i,2016,449899,10008,1st Owner,Petrol,26979,SPORTS 1.2 VTVT Manual
336, Ford , Ford Ecosport,2018,799799,17791,1st Owner,Diesel,28127,1.5 AMBIENTE TDCI Manual
337, Hyundai , Hyundai Grand i,2013,392999,8742,1st Owner,Petrol,29411,SPORTZ 1.2 KAPPA VTVT Manual
338, Maruti , Maruti Wagon R ,2016,433799,9650,1st Owner,Petrol,20771,VXI Manual
339, Hyundai , Hyundai Elite i,2017,598599,13316,1st Owner,Petrol,6954,SPORTZ 1.2 Manual
340, Maruti , Maruti Vitara Brezza,2019,838699,18656,1st Owner,Diesel,30236,VDI Manual
341, Maruti , Maruti Wagon R ,2015,346099,7699,1st Owner,Petrol,44433,LXI Manual
342, Hyundai , Hyundai VENUE,2019,975099,21691,1st Owner,Diesel,73561,1.4 CRDI S MT Manual
343, Ford , Ford Ecosport,2017,617899,13745,1st Owner,Petrol,21407,1.5AMBIENTE TI VCT Manual
344, Honda , Honda Jazz,2016,517599,11514,1st Owner,Petrol,53879,1.2 S MT Manual
345, MG , MG HECTOR,2019,1746699,38854,1st Owner,Diesel,12937,SMART DIESEL Manual
346, Maruti , Maruti Eeco,2018,446599,9934,1st Owner,Petrol + CNG,75193,5 STR CNG WITH AC PLUSHTR Manual
347, Maruti , Maruti Ertiga,2016,846699,18834,1st Owner,Diesel,58181,ZDI SHVS Manual
348, Hyundai , Hyundai Creta,2018,1353899,30117,1st Owner,Petrol,21203,1.6 VTVT SX AUTO Automatic
349, Toyota , Toyota Etios,2017,591399,13155,1st Owner,Petrol,73896,V Manual
350, Maruti , Maruti Baleno,2016,567599,12626,1st Owner,Petrol,9363,DELTA 1.2 K12 Manual
351, Maruti , Maruti Vitara Brezza,2019,904599,20122,2nd Owner,Diesel,27166,ZDI Manual
352, Honda , Honda Amaze,2019,806699,17945,2nd Owner,Diesel,24978,VX AT I DTEC Automatic
353, Maruti , Maruti Dzire,2020,785099,17464,1st Owner,Petrol,17083,VXI AMT Automatic
354, Toyota , Toyota Corolla Altis,2014,664499,14781,2nd Owner,Petrol,22434,J S Manual
355, Maruti , Maruti Swift,2015,471299,10484,1st Owner,Diesel,142995,VDI Manual
356, Hyundai , Hyundai Grand i,2016,467699,10404,1st Owner,Petrol,32766,SPORTZ 1.2 KAPPA VTVT Manual
357, Hyundai , Hyundai Creta,2015,851999,18952,1st Owner,Petrol,60227,1.6 SX PLUS PETROL Manual
358, Maruti , Maruti Alto K,2019,390299,8682,1st Owner,Petrol,9370,VXI Manual
359, Volkswagen , Volkswagen Vento,2016,750699,16699,1st Owner,Diesel,49357,HIGHLINE TDI AT Automatic
360, Hyundai , Hyundai Elite i,2019,893799,19882,1st Owner,Petrol,16358,1.2  ASTA (O) CVT Automatic
361, Honda , Honda Jazz,2019,845999,18819,1st Owner,Petrol,6006,1.2 VX AT Automatic
362, Ford , Ford Ecosport,2017,731699,16276,1st Owner,Diesel,20082,1.5 AMBIENTE TDCI Manual
363, Hyundai , Hyundai Elite i,2016,590899,13144,1st Owner,Petrol,67248,SPORTZ 1.2 Manual
364, Hyundai , Hyundai Grand i,2016,520499,11578,1st Owner,Petrol,16989,Magna 1.2 AT  VTVT Automatic
365, Maruti , Maruti Dzire,2017,708899,15769,1st Owner,Petrol,38393,ZXI Manual
366, Honda , Honda Amaze,2019,817899,18194,1st Owner,Petrol,6341,1.2 V CVT I VTEC Automatic
367, Hyundai , Hyundai Elite i,2015,499099,11102,1st Owner,Petrol,63961,SPORTZ 1.2 Manual
368, Hyundai , Hyundai Elite i,2019,769999,17128,1st Owner,Petrol,34853,ASTA 1.2 (O) Manual
369, Maruti , Maruti Baleno,2017,581499,12935,1st Owner,Petrol,28197,DELTA 1.2 K12 Manual
370, Hyundai , Hyundai VENUE,2020,1011099,22491,1st Owner,Petrol,18221,SX 1.0 GDI IMT Manual
371, Maruti , Maruti Dzire,2020,763799,16990,1st Owner,Petrol,8384,VXI Manual
372, Maruti , Maruti Wagon R ,2015,364799,8115,1st Owner,Petrol,54872,VXI Manual
373, Maruti , Maruti Baleno,2016,624099,13883,1st Owner,Diesel,45380,ALPHA DDIS 190 Manual
374, Jeep , Jeep Compass,2017,1427199,31747,1st Owner,Diesel,24588,2.0 LONGITUDE (O) Manual
375, Honda , Honda Jazz,2018,711499,15827,1st Owner,Petrol,26796,1.2 V MT Manual
376, Maruti , Maruti Dzire,2018,666899,14835,1st Owner,Petrol,71772,VXI Manual
377, Maruti , Maruti Vitara Brezza,2019,862699,19190,1st Owner,Diesel,57702,ZDI Manual
378, Hyundai , Hyundai VENUE,2019,920999,20487,2nd Owner,Petrol,22716,1.0L Turbo GDI SX MT Manual
379, Maruti , Maruti Baleno,2018,600599,13360,1st Owner,Petrol,26382,DELTA 1.2 K12 Manual
380, Maruti , Maruti Baleno,2016,528899,11765,1st Owner,Petrol,83600,ZETA 1.2 K12 Manual
381, Maruti , Maruti Ciaz,2018,735099,16352,1st Owner,Petrol,44452,ZETA 1.4 VVT Manual
382, Maruti , Maruti Baleno,2017,561999,12501,1st Owner,Petrol,69421,ALPHA 1.2 K12 Manual
383, Hyundai , Hyundai Elite i,2019,853199,18979,1st Owner,Petrol,25349,1.2  ASTA (O) CVT Automatic
384, MG , MG HECTOR,2019,1835999,40841,1st Owner,Petrol,18570,SHARP DCT PETROL Automatic
385, Maruti , Maruti Dzire,2017,604799,13453,1st Owner,Petrol,57977,VXI AMT Automatic
386, Maruti , Maruti Baleno,2016,540999,12034,1st Owner,Petrol,40361,DELTA 1.2 K12 Manual
387, Maruti , Maruti Dzire,2018,693299,15422,1st Owner,Petrol,41034,VXI Manual
388, Honda , Honda CRV,2014,1060699,23595,1st Owner,Petrol,103411,2.4 AT 4WD AVN Automatic
389, Hyundai , Hyundai Elite i,2017,614699,13674,1st Owner,Petrol,10022,SPORTZ 1.2 Manual
390, Hyundai , Hyundai Elite i,2017,569999,12679,1st Owner,Petrol,63277,SPORTZ 1.2 Manual
391, Hyundai , Hyundai Elite i,2016,548299,12197,1st Owner,Petrol,76366,ASTA 1.2 (O) Manual
392, Maruti , Maruti Ciaz,2018,730499,16250,1st Owner,Petrol,51725,ZETA 1.4 VVT Manual
393, Maruti , Maruti Baleno,2017,594499,13224,1st Owner,Petrol,16734,ZETA 1.2 K12 Manual
394, Maruti , Maruti Dzire,2018,741999,16505,1st Owner,Diesel,47158,VDI Manual
395, Hyundai , Hyundai Elite i,2017,658699,14652,1st Owner,Petrol,25348,ASTA 1.2 (O) Manual
396, Honda , Honda WR-V,2018,743299,16534,2nd Owner,Petrol,14930,1.2 i-VTEC VX MT Manual
397, Ford , Ford Figo Aspire,2017,465699,10359,1st Owner,Diesel,141022,1.5 TITANIUM DIESEL Manual
398, Skoda , Skoda Rapid,2021,1247299,27745,1st Owner,Petrol,4245,1.0 AMBITION TSI AT Automatic
399, Maruti , Maruti Dzire,2018,704199,15665,1st Owner,Petrol,6829,VXI Manual
400, Maruti , Maruti S PRESSO,2020,534699,11894,1st Owner,Petrol,2799,VXI PLUS AGS Automatic
401, Hyundai , Hyundai VENUE,2019,992899,22086,2nd Owner,Petrol,26191,1.0 SX TURBO GDI DUAL TONE Manual
402, Honda , Honda Jazz,2020,1072599,23859,1st Owner,Petrol,11909,ZX CVT Automatic
403, Skoda , Skoda Octavia,2018,1787199,39755,1st Owner,Petrol,26809,LK 1.8 TSI AT Automatic
404, Hyundai , Hyundai Elite i,2017,698799,15544,1st Owner,Petrol,19673,ASTA 1.2 (O) Manual
405, Hyundai , Hyundai i,2016,557399,12399,1st Owner,Petrol,47707,1.2 Manual
406, Maruti , Maruti Ciaz,2018,940299,20916,1st Owner,Diesel,56836,ALPHA 1.3 DDIS SHVS Manual
407, Maruti , Maruti Baleno,2016,586699,13051,1st Owner,Petrol,47421,ZETA 1.2 K12 Manual
408, Maruti , Maruti Baleno,2016,583699,12984,1st Owner,Petrol,76773,ALPHA 1.2 K12 Manual
409, Hyundai , Hyundai VENUE,2021,1333899,29672,1st Owner,Petrol,3028,1.0 TURBO GDI SX+ AT Automatic
410, Maruti , Maruti Vitara Brezza,2017,755699,16810,1st Owner,Diesel,78266,ZDI Manual
411, Honda , Honda Amaze,2019,814099,18109,1st Owner,Petrol,13164,1.2 VX CVT I VTEC Automatic
412, Honda , Honda City,2018,1153229,25653,1st Owner,Petrol,10411,ZX CVT Automatic
413, MG , MG HECTOR,2019,1692299,37644,2nd Owner,Petrol,7231,SHARP DCT PETROL Automatic
414, Maruti , Maruti S PRESSO,2021,481199,10704,1st Owner,Petrol,3654,VXI PLUS Manual
415, Ford , Ford Ecosport,2017,726999,16172,1st Owner,Diesel,30575,1.5 TDCI TITANIUM PLUS Manual
416, Hyundai , Hyundai Grand i,2016,510599,11358,1st Owner,Petrol,71122,ASTA AT 1.2 KAPPA VTVT Automatic
417, Honda , Honda WR-V,2018,767599,17075,1st Owner,Petrol,25660,1.2 i-VTEC VX MT Manual
418, Honda , Honda City,2018,1051799,23397,1st Owner,Petrol,33613,ZX CVT Automatic
419, Maruti , Maruti Alto,2021,449699,10003,1st Owner,Petrol,3401,VXI PLUS Manual
420, Honda , Honda City,2018,917099,20400,1st Owner,Petrol,25153,V CVT Automatic
