id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
97, Hyundai , Hyundai Grand i,2019,604099,13438,1st Owner,Petrol + CNG,44274,MAGNA CNG Manual
98, Ford , Ford Ecosport,2017,695399,15469,1st Owner,Diesel,43284,1.5TITANIUM TDCI Manual
99, Maruti , Maruti Baleno,2015,536999,11945,1st Owner,Petrol,25316,ZETA 1.2 K12 Manual
100, Mahindra , Mahindra XUV ,2019,1147399,25523,1st Owner,Petrol,15913,1.2 W8 OPT 
101, Ford , Ford Ecosport,2019,814099,18109,1st Owner,Petrol,19840,1.5 TREND TI VCT Manual
102, Hyundai , Hyundai i,2014,452099,10057,1st Owner,Petrol,40495,ASTA 1.2 Manual
103, Hyundai , Hyundai Grand i,2014,401199,8924,2nd Owner,Petrol,58292,SPORTZ 1.2 KAPPA VTVT Manual
104, Maruti , Maruti Dzire,2018,676799,15055,1st Owner,Petrol,15053,VXI Manual
105, Maruti , Maruti Wagon R ,2016,422699,9403,1st Owner,Petrol,23055,VXI Manual
106, Tata , Tata ALTROZ,2020,858899,19106,1st Owner,Petrol,20736,XZ 1.2 Manual
107, Renault , Renault Kwid,2017,387099,8611,1st Owner,Petrol,44697,RXT 1.0 EASY-R AT OPTION Automatic
108, Hyundai , Hyundai Grand i,2016,475699,10582,1st Owner,Petrol,28987,SPORTZ 1.2 KAPPA VTVT Manual
109, Skoda , Skoda Superb,2016,1400477,31153,1st Owner,Petrol,50230,1.8 TSI STYLE AT Automatic
110, Honda , Honda Amaze,2021,974059,21667,1st Owner,Petrol,11312,1.2 V CVT I VTEC Automatic
111, Hyundai , Hyundai Grand i,2015,450699,10026,1st Owner,Petrol,66495,ASTA 1.2 (O) VTVT Manual
112, Maruti , Maruti Baleno,2019,686699,15275,2nd Owner,Petrol,21363,ZETA 1.2 K12 Manual
113, Maruti , Maruti Vitara Brezza,2019,969799,21573,1st Owner,Diesel,49685,ZDI PLUS Manual
114, Hyundai , Hyundai Grand i,2013,395199,8791,1st Owner,Diesel,43249,SPORTZ 1.1 CRDI Manual
115, Hyundai , Hyundai Grand i,2014,410199,9125,2nd Owner,Petrol,57325,SPORTS 1.2 VTVT Manual
116, Maruti , Maruti Dzire,2018,662499,14737,1st Owner,Petrol,40489,VXI Manual
117, Maruti , Maruti Baleno,2018,738999,16439,1st Owner,Petrol,23793,ALPHA 1.2 K12 Manual
118, Maruti , Maruti Dzire,2018,704199,15665,1st Owner,Petrol,19132,VXI Manual
